latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-15.33647,132.98547,311.67,1.07,1.03,2025-03-11,0035,T,27,6.1NRT,285.51,5,D
-15.48039,133.03238,309.57,1.08,1.04,2025-03-11,0035,T,48,6.1NRT,270.39,6.23,D
-15.78317,134.64282,308.42,1.31,1.13,2025-03-11,0035,T,44,6.1NRT,272.54,8.15,D
-15.78467,134.65472,305.53,1.31,1.14,2025-03-11,0035,T,35,6.1NRT,273.29,5.61,D
-15.91025,132.67305,309.69,1.05,1.03,2025-03-11,0035,T,45,6.1NRT,282.61,5.92,D
-15.71665,131.04794,331.95,1,1,2025-03-11,0035,T,85,6.1NRT,297.92,19.57,D
-15.72548,131.0466,322.68,1,1,2025-03-11,0035,T,63,6.1NRT,297.27,8.03,D
-17.11944,133.78442,316,1.21,1.09,2025-03-11,0035,T,56,6.1NRT,276.21,10.52,D
-18.38573,137.25735,332.52,2.19,1.44,2025-03-11,0035,T,84,6.1NRT,292.02,70.31,D
-18.39846,137.25589,332.83,2.19,1.44,2025-03-11,0035,T,84,6.1NRT,291.26,71.26,D
-18.86678,138.39195,314.88,2.73,1.58,2025-03-11,0035,T,20,6.1NRT,289.71,21.65,D
-18.08111,131.65749,331.51,1.02,1.01,2025-03-11,0035,T,0,6.1NRT,268.81,26.54,D
-18.89479,138.38879,315.58,2.73,1.58,2025-03-11,0035,T,38,6.1NRT,288.42,22.86,D
-18.09135,131.66559,362.43,1.02,1.01,2025-03-11,0035,T,0,6.1NRT,269.63,90.1,D
-18.10028,131.66426,333,1.02,1.01,2025-03-11,0035,T,49,6.1NRT,282.53,25.58,D
-17.71773,128.98618,364.27,1.09,1.04,2025-03-11,0035,T,100,6.1NRT,295.49,99.75,D
-17.71926,128.9962,380.92,1.09,1.04,2025-03-11,0035,T,100,6.1NRT,297.47,165.48,D
-17.72078,129.00621,342.95,1.09,1.04,2025-03-11,0035,T,91,6.1NRT,295.61,42.17,D
-17.72693,128.98471,390.4,1.09,1.04,2025-03-11,0035,T,100,6.1NRT,298.21,214.45,D
-17.72845,128.99475,393.89,1.09,1.04,2025-03-11,0035,T,100,6.1NRT,299.79,233.79,D
-18.11814,131.66161,342.21,1.02,1.01,2025-03-11,0035,T,56,6.1NRT,298.2,39.12,D
-17.73503,128.98763,329.15,1.09,1.04,2025-03-11,0035,T,73,6.1NRT,296.68,19.21,D
-18.12723,131.65419,328.68,1.02,1.01,2025-03-11,0035,T,63,6.1NRT,296.34,19.39,D
-17.74266,128.97606,378.1,1.09,1.04,2025-03-11,0035,T,100,6.1NRT,298.81,153.77,D
-17.74423,128.98613,341.42,1.09,1.04,2025-03-11,0035,T,90,6.1NRT,298.34,39.69,D
-17.84851,129.42345,345.83,1.05,1.02,2025-03-11,0035,T,92,6.1NRT,296.58,48.04,D
-17.84997,129.43311,329.91,1.05,1.02,2025-03-11,0035,T,80,6.1NRT,295.09,21.06,D
-17.85755,129.422,341.04,1.05,1.02,2025-03-11,0035,T,89,6.1NRT,296.94,39.52,D
-17.85901,129.43166,323.75,1.05,1.02,2025-03-11,0035,T,73,6.1NRT,295.33,13.7,D
-18.84242,136.5883,333.73,1.98,1.37,2025-03-11,0035,T,68,6.1NRT,296.54,53.71,D
-18.84863,136.59961,328.74,1.98,1.37,2025-03-11,0035,T,44,6.1NRT,297.06,35.86,D
-18.19262,130.31285,340.83,1,1,2025-03-11,0035,T,88,6.1NRT,302.91,30.25,D
-18.19398,130.32213,336.57,1,1,2025-03-11,0035,T,85,6.1NRT,302.85,24.12,D
-18.19668,130.34068,330.97,1,1,2025-03-11,0035,T,80,6.1NRT,301.6,16.57,D
-18.20147,130.31146,332,1,1,2025-03-11,0035,T,81,6.1NRT,302.75,16,D
-18.21782,130.34991,321.45,1,1,2025-03-11,0035,T,36,6.1NRT,300.97,8.02,D
-18.22395,130.32999,322.92,1,1,2025-03-11,0035,T,41,6.1NRT,300.69,9.26,D
-18.23481,130.15717,328.79,1.01,1,2025-03-11,0035,T,77,6.1NRT,301.36,13.82,D
-18.26892,130.14227,325.02,1.01,1,2025-03-11,0035,T,72,6.1NRT,301.48,9.41,D
-18.30653,130.26361,333.51,1.01,1,2025-03-11,0035,T,82,6.1NRT,301.53,20,D
-18.31538,130.26221,322.03,1.01,1,2025-03-11,0035,T,52,6.1NRT,301.42,7.45,D
-18.31675,130.2715,322.39,1.01,1,2025-03-11,0035,T,66,6.1NRT,300.17,8.7,D
-19.37985,138.70558,327.28,2.93,1.63,2025-03-11,0035,T,76,6.1NRT,291.91,78.08,D
-19.3943,138.70406,340.37,2.93,1.63,2025-03-11,0035,T,89,6.1NRT,292.06,166.17,D
-19.39704,138.73146,325.96,2.94,1.63,2025-03-11,0035,T,75,6.1NRT,290.83,70.32,D
-18.35966,130.25525,327.11,1.01,1,2025-03-11,0035,T,63,6.1NRT,303.02,11.68,D
-19.40877,138.70262,321.62,2.93,1.63,2025-03-11,0035,T,67,6.1NRT,291.03,50.18,D
-18.36579,130.23528,324.25,1.01,1,2025-03-11,0035,T,50,6.1NRT,301.31,7.81,D
-19.39643,138.69696,334.23,2.93,1.63,2025-03-11,0035,T,83,6.1NRT,292,121.47,D
-19.39898,138.72441,327.89,2.94,1.63,2025-03-11,0035,T,76,6.1NRT,291.02,82.08,D
-18.93027,134.14238,321.91,1.33,1.14,2025-03-11,0035,T,63,6.1NRT,297.22,10.52,D
-19.54622,135.88092,324.49,1.79,1.31,2025-03-11,0035,T,66,6.1NRT,299.85,23.18,D
-19.54814,135.89766,330.88,1.8,1.31,2025-03-11,0035,T,79,6.1NRT,299.67,42.29,D
-19.55591,135.86279,322.47,1.79,1.31,2025-03-11,0035,T,49,6.1NRT,299.33,16.51,D
-19.55785,135.87949,355.95,1.79,1.31,2025-03-11,0035,T,98,6.1NRT,300.47,149.17,D
-19.55978,135.89624,322.44,1.8,1.31,2025-03-11,0035,T,40,6.1NRT,299.65,18.21,D
-19.23383,131.3367,391.44,1.02,1.01,2025-03-11,0037,T,100,6.1NRT,303.89,195.87,D
